caminho,diretorio,arquivo,extensao,bytes,modificado_em,base,ano,mes,recorte,fonte_meta
/pdet/microdados/COMUNICADO_microdados.pdf,/pdet/microdados,COMUNICADO_microdados.pdf,pdf,77037,04-25-16 10:47AM,AUXILIAR_DOC,,,,LIST
/pdet/microdados/NOTA_TECNICA_microdados.pdf,/pdet/microdados,NOTA_TECNICA_microdados.pdf,pdf,135423,04-25-16 10:47AM,AUXILIAR_DOC,,,,LIST
/pdet/microdados/CAGED/CAGEDEST_layout_Atualizado.xls,/pdet/microdados/CAGED,CAGEDEST_layout_Atualizado.xls,xls,1323008,06-21-18 03:05PM,AUXILIAR_DOC,,,,LIST
/pdet/microdados/CAGED_AJUSTES/1Comunicado_Qtd_registros_por_arquivo.xls,/pdet/microdados/CAGED_AJUSTES,1Comunicado_Qtd_registros_por_arquivo.xls,xls,352768,11-07-17 12:39PM,AUXILIAR_DOC,,,,LIST
/pdet/microdados/CAGED_AJUSTES/2CAGEDEST_AjustesForaPrazo_layout_Atualizado.xls,/pdet/microdados/CAGED_AJUSTES,2CAGEDEST_AjustesForaPrazo_layout_Atualizado.xls,xls,1257984,12-19-19 06:46PM,AUXILIAR_DOC,,,,LIST
/pdet/microdados/NOVO CAGED/Comunicado - Grupamento de Atividades Econômicas.pdf,/pdet/microdados/NOVO CAGED,Comunicado - Grupamento de Atividades Econômicas.pdf,pdf,345046,06-05-20 05:49PM,AUXILIAR_DOC,,,,LIST
/pdet/microdados/NOVO CAGED/Layout Não-identificado Novo Caged Movimentação.xlsx,/pdet/microdados/NOVO CAGED,Layout Não-identificado Novo Caged Movimentação.xlsx,xlsx,293931,08-31-22 11:59AM,AUXILIAR_DOC,,,,LIST
/pdet/microdados/NOVO CAGED/Leia-me.txt,/pdet/microdados/NOVO CAGED,Leia-me.txt,txt,1084,11-30-21 03:56PM,AUXILIAR_DOC,,,,LIST
/pdet/microdados/NOVO CAGED/Sobre o Novo Caged.pdf,/pdet/microdados/NOVO CAGED,Sobre o Novo Caged.pdf,pdf,83781,11-30-21 03:56PM,AUXILIAR_DOC,,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/Layout Público RAIS eSocial Doméstica.xlsx,/pdet/microdados/TRABALHO_DOMESTICO,Layout Público RAIS eSocial Doméstica.xlsx,xlsx,374883,08-12-25 11:02AM,AUXILIAR_DOC,,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2015.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2015.7z,7z,19009188,08-12-25 11:03AM,RAIS_OUTRO,2015,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2016.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2016.7z,7z,23985089,08-12-25 11:03AM,RAIS_OUTRO,2016,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2017.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2017.7z,7z,23864834,08-12-25 11:03AM,RAIS_OUTRO,2017,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2018.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2018.7z,7z,23557263,08-12-25 11:03AM,RAIS_OUTRO,2018,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2019.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2019.7z,7z,31685269,08-12-25 11:03AM,RAIS_OUTRO,2019,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2020.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2020.7z,7z,29764772,08-12-25 11:03AM,RAIS_OUTRO,2020,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2021.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2021.7z,7z,29325050,08-12-25 11:03AM,RAIS_OUTRO,2021,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2022.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2022.7z,7z,29035467,08-12-25 11:03AM,RAIS_OUTRO,2022,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2023.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2023.7z,7z,26910350,08-12-25 11:03AM,RAIS_OUTRO,2023,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2024.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2024.7z,7z,24661244,08-12-25 11:03AM,RAIS_OUTRO,2024,,,LIST
/pdet/microdados/TRABALHO_DOMESTICO/RAIS_DOM_PUB_2025.7z,/pdet/microdados/TRABALHO_DOMESTICO,RAIS_DOM_PUB_2025.7z,7z,23632356,04-10-26 10:03AM,RAIS_OUTRO,2025,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_012007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_012007.7z,7z,21713433,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_022007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_022007.7z,7z,21188560,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_032007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_032007.7z,7z,23528287,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_042007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_042007.7z,7z,21854411,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_052007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_052007.7z,7z,23408072,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_062007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_062007.7z,7z,21987284,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_072007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_072007.7z,7z,22451067,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_082007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_082007.7z,7z,23622908,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_092007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_092007.7z,7z,21839287,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_102007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_102007.7z,7z,23488912,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_112007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_112007.7z,7z,22070263,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2007/CAGEDEST_122007.7z,/pdet/microdados/CAGED/2007,CAGEDEST_122007.7z,7z,20526980,08-21-17 06:33PM,CAGED_ANTIGO,2007,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_012008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_012008.7z,7z,24826994,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_022008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_022008.7z,7z,25545872,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_032008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_032008.7z,7z,26630395,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_042008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_042008.7z,7z,26814497,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_052008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_052008.7z,7z,25834189,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_062008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_062008.7z,7z,26534349,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_072008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_072008.7z,7z,28079597,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_082008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_082008.7z,7z,27488397,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_092008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_092008.7z,7z,28006680,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_102008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_102008.7z,7z,28449606,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_112008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_112008.7z,7z,26032747,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2008/CAGEDEST_122008.7z,/pdet/microdados/CAGED/2008,CAGEDEST_122008.7z,7z,23889720,08-21-17 06:34PM,CAGED_ANTIGO,2008,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_012009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_012009.7z,7z,23692079,04-25-16 10:51AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_022009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_022009.7z,7z,23013704,04-25-16 10:51AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_032009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_032009.7z,7z,25675446,04-25-16 10:51AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_042009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_042009.7z,7z,23787188,04-25-16 10:51AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_052009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_052009.7z,7z,23773237,04-25-16 10:51AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_062009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_062009.7z,7z,24040676,04-25-16 10:51AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_072009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_072009.7z,7z,24614926,04-25-16 10:52AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_082009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_082009.7z,7z,24575614,04-25-16 10:52AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_092009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_092009.7z,7z,24974505,04-25-16 10:52AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_102009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_102009.7z,7z,24364243,04-25-16 10:52AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_112009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_112009.7z,7z,23662948,04-25-16 10:52AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2009/CAGEDEST_122009.7z,/pdet/microdados/CAGED/2009,CAGEDEST_122009.7z,7z,22862044,04-25-16 10:52AM,CAGED_ANTIGO,2009,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_012010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_012010.7z,7z,24942019,04-25-16 10:52AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_022010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_022010.7z,7z,26885285,04-25-16 10:53AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_032010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_032010.7z,7z,31394920,04-25-16 10:53AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_042010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_042010.7z,7z,28408369,04-25-16 10:53AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_052010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_052010.7z,7z,29071778,04-25-16 10:53AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_062010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_062010.7z,7z,28789796,04-25-16 10:53AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_072010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_072010.7z,7z,29091762,04-25-16 10:53AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_082010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_082010.7z,7z,30047419,04-25-16 10:54AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_092010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_092010.7z,7z,29572594,04-25-16 10:54AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_102010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_102010.7z,7z,28729992,04-25-16 10:54AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_112010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_112010.7z,7z,28408833,04-25-16 10:54AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2010/CAGEDEST_122010.7z,/pdet/microdados/CAGED/2010,CAGEDEST_122010.7z,7z,25716416,04-25-16 10:54AM,CAGED_ANTIGO,2010,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_012011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_012011.7z,7z,28966301,04-25-16 10:54AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_022011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_022011.7z,7z,30518373,04-25-16 10:54AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_032011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_032011.7z,7z,31836791,04-25-16 10:55AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_042011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_042011.7z,7z,27561645,04-25-16 10:55AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_052011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_052011.7z,7z,32801658,04-25-16 10:55AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_062011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_062011.7z,7z,31042260,04-25-16 10:55AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_072011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_072011.7z,7z,27884511,04-25-16 10:55AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_082011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_082011.7z,7z,32114065,04-25-16 10:56AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_092011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_092011.7z,7z,30685578,04-25-16 10:56AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_102011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_102011.7z,7z,27247307,04-25-16 10:56AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_112011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_112011.7z,7z,29411373,04-25-16 10:56AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2011/CAGEDEST_122011.7z,/pdet/microdados/CAGED/2011,CAGEDEST_122011.7z,7z,27723001,04-25-16 10:56AM,CAGED_ANTIGO,2011,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_012012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_012012.7z,7z,28190695,04-25-16 10:56AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_022012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_022012.7z,7z,30897127,04-25-16 10:57AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_032012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_032012.7z,7z,33623454,04-25-16 10:57AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_042012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_042012.7z,7z,30998956,04-25-16 10:57AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_052012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_052012.7z,7z,31814063,04-25-16 10:57AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_062012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_062012.7z,7z,31152121,12-12-16 06:18PM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_072012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_072012.7z,7z,31179340,04-25-16 10:58AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_082012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_082012.7z,7z,32937711,04-25-16 10:58AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_092012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_092012.7z,7z,29605141,04-25-16 10:58AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_102012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_102012.7z,7z,31141931,04-25-16 10:58AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_112012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_112012.7z,7z,29747621,04-25-16 10:58AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2012/CAGEDEST_122012.7z,/pdet/microdados/CAGED/2012,CAGEDEST_122012.7z,7z,26906705,04-25-16 10:59AM,CAGED_ANTIGO,2012,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_012013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_012013.7z,7z,32909712,04-25-16 10:59AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_022013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_022013.7z,7z,31923083,04-25-16 10:59AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_032013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_032013.7z,7z,33337507,04-25-16 10:59AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_042013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_042013.7z,7z,33951981,04-25-16 10:59AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_052013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_052013.7z,7z,33501056,04-25-16 10:59AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_062013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_062013.7z,7z,31989519,04-25-16 10:59AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_072013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_072013.7z,7z,32997387,04-25-16 11:00AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_082013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_082013.7z,7z,33519842,04-25-16 11:00AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_092013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_092013.7z,7z,31674305,04-25-16 11:00AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_102013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_102013.7z,7z,30844627,04-25-16 11:00AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_112013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_112013.7z,7z,29844199,04-25-16 11:00AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2013/CAGEDEST_122013.7z,/pdet/microdados/CAGED/2013,CAGEDEST_122013.7z,7z,24692866,04-25-16 11:00AM,CAGED_ANTIGO,2013,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_012014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_012014.7z,7z,32850849,04-25-16 10:49AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_022014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_022014.7z,7z,34688425,04-25-16 10:49AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_032014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_032014.7z,7z,33205910,04-25-16 10:49AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_042014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_042014.7z,7z,31052418,04-25-16 10:49AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_052014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_052014.7z,7z,34070232,04-25-16 10:50AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_062014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_062014.7z,7z,30823585,04-25-16 10:50AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_072014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_072014.7z,7z,32778389,04-25-16 10:50AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_082014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_082014.7z,7z,32149937,04-25-16 10:50AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_092014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_092014.7z,7z,32314499,04-25-16 10:50AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_102014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_102014.7z,7z,30193586,04-25-16 10:50AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_112014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_112014.7z,7z,30514993,04-25-16 10:51AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2014/CAGEDEST_122014.7z,/pdet/microdados/CAGED/2014,CAGEDEST_122014.7z,7z,27529027,04-25-16 10:51AM,CAGED_ANTIGO,2014,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_012015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_012015.7z,7z,31280333,06-03-26 03:13PM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_022015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_022015.7z,7z,31550620,04-25-16 10:48AM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_032015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_032015.7z,7z,32704022,06-03-26 03:13PM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_042015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_042015.7z,7z,30190938,04-25-16 10:48AM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_052015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_052015.7z,7z,29362012,04-25-16 10:48AM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_062015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_062015.7z,7z,29373959,04-25-16 10:48AM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_072015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_072015.7z,7z,26399324,06-03-26 03:13PM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_082015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_082015.7z,7z,27936687,04-25-16 10:49AM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_092015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_092015.7z,7z,26745694,04-25-16 10:49AM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_102015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_102015.7z,7z,24340724,04-25-16 10:49AM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_112015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_112015.7z,7z,24989313,06-03-26 03:13PM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2015/CAGEDEST_122015.7z,/pdet/microdados/CAGED/2015,CAGEDEST_122015.7z,7z,24028348,04-25-16 10:49AM,CAGED_ANTIGO,2015,,,LIST
/pdet/microdados/CAGED/2016/CAGEDEST_012016.7z,/pdet/microdados/CAGED/2016,CAGEDEST_012016.7z,7z,24490041,04-25-16 10:49AM,CAGED_ANTIGO,2016,,,LIST
/pdet/microdados/CAGED/2016/CAGEDEST_022016.7z,/pdet/microdados/CAGED/2016,CAGEDEST_022016.7z,7z,26642169,04-25-16 10:50AM,CAGED_ANTIGO,2016,,,LIST
/pdet/microdados/CAGED/2016/CAGEDEST_032016.7z,/pdet/microdados/CAGED/2016,CAGEDEST_032016.7z,7z,28875178,06-03-26 03:20PM,CAGED_ANTIGO,2016,,,LIST
/pdet/microdados/CAGED/2016/CAGEDEST_042016.7z,/pdet/microdados/CAGED/2016,CAGEDEST_042016.7z,7z,23997140,05-30-16 05:43PM,CAGED_ANTIGO,2016,,,LIST
